เกรดเฉลี่ยสะสม,รายได้ต่อเดือนของนักศึกษา (บาท),รายจ่ายต่อเดือนของนักศึกษา (บาท),รายได้ต่อเดือนของครอบครัว (บาท),ระยะทางจากที่พักมาห้องเรียน (กิโลเมตร),การใช้อินเตอร์อินเน็ตกี่ชั่วโมงใน 1 วัน ,เพศ_ชาย,เพศ_หญิง,ชั้นปี_ชั้นปีที่ 2,ชั้นปี_ชั้นปีที่ 3,ชั้นปี_ชั้นปีที่ 4,สาขา_คณิตศาสตร์,สาขา_จุลชีววิทยา,สาขา_ชีววิทยา,สาขา_ฟิสิกส์,สาขา_วัสดุศาสตร์,สาขา_วิทยาการคอมพิวเตอร์,สาขา_วิทยาศาสตร์พอลิเมอร์,สาขา_สถิติ,สาขา_เคมี,สาขา_เคมี - ชีววิทยาประยุกต์,สาขา_เทคโนโลยีชีวภาพ,สาขา_เทคโนโลยีสารสนเทศและการสื่อสาร,หอพัก_หอนอก,หอพัก_หอใน,ยานพาหนะที่ใช้มาเรียน _รถรับจ้าง,ยานพาหนะที่ใช้มาเรียน _รถส่วนตัว,ยานพาหนะที่ใช้มาเรียน _รถเมล์มอ,ยานพาหนะที่ใช้มาเรียน _เดิน
3.2,3000,3000,10000,8.0,14,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2.6,6000,5600,60000,3.0,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2.98,6000,5000,35000,2.0,9,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2.9,6000,4500,70000,0.5,12,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3.24,6000,5500,18000,0.5,10,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2.71,6000,7000,60000,1.9,20,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
3.52,4000,5000,15000,1.1,15,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2.48,6000,5500,15000,1.6,18,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
3.2,8000,7000,50000,3.0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
2.58,8000,7500,50000,2.0,16,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
